id_lista,categoria,classe,geometria,nome_geografico,lat,long,uf
75,AER,pista_ponto_pouso,Linha,Aeródromo Boa Safra,-12.7231,-56.5022,MT
76,AER,pista_ponto_pouso,Linha,Aerodrómo Bom Futuro,-15.5064,-56.0985,MT
77,AER,pista_ponto_pouso,Linha,Aeródromo Bom Jesus,-28.6055,-50.4516,RS
78,AER,pista_ponto_pouso,Linha,Aeródromo Borba,-4.40522,-59.6028,AM
79,AER,pista_ponto_pouso,Linha,Aeródromo Botelho,-15937,-47727,DF
80,AER,pista_ponto_pouso,Linha,Aeródromo Breves,-1.63744,-50.4448,PA
81,AER,pista_ponto_pouso,Linha,Aeródromo Brigadeiro Cabral,-20.1808,-44871,MG
82,AER,pista_ponto_pouso,Linha,Aerodrómo Brigadeiro Eduardo Gomes,-13.8211,-56.0385,MT
83,AER,pista_ponto_pouso,Linha,Aeródromo Brigadeiro Fábio Pereira da Silveira,-18.6105,-48.7197,MG
84,AER,pista_ponto_pouso,Linha,Aeródromo Brigadeiro Francisco Pinto de Moura,-22.5573,-42.1148,RJ
85,AER,pista_ponto_pouso,Linha,Aeródromo Bunge,-7.37096,-44.3948,PI
86,AER,pista_ponto_pouso,Linha,Aeródromo Buritizal Agropastoril Ltda,-9.28949,-60.6967,MT
87,AER,pista_ponto_pouso,Linha,Aeródromo Busato Ii,-13.1963,-43.6356,BA
88,AER,pista_ponto_pouso,Linha,Aeródromo Caçapava do Sul,-30.5496,-53.4585,RS
89,AER,pista_ponto_pouso,Linha,Aeródromo Cáceres,-16.0435,-57.6299,MT
90,AER,pista_ponto_pouso,Linha,Aeródromo Cachoeira do Sul,-30.0019,-52.9409,RS
91,AER,pista_ponto_pouso,Linha,Aeródromo Cacoal,-11.4957,-61.4508,RO
92,AER,pista_ponto_pouso,Linha,Aeródromo Cadete 56 - 147 Santana,-12.8508,-48.2268,TO
93,AER,pista_ponto_pouso,Linha,Aeródromo Caiapó,-9.1865,-49.7756,TO
94,AER,pista_ponto_pouso,Linha,Aeródromo Caima,-4.30542,-56.2197,PA
95,AER,pista_ponto_pouso,Linha,Aeródromo Calcário Vale do Araguaia,-14.1895,-51.6446,MT
96,AER,pista_ponto_pouso,Linha,Aeródromo Campina Verde,-19.5514,-49.4986,MG
97,AER,pista_ponto_pouso,Linha,Aeródromo Campo Belo,-20.8922,-45335,MG
98,AER,pista_ponto_pouso,Linha,Aeródromo Campo do Meio,-21.1053,-45.8033,MG
99,AER,pista_ponto_pouso,Linha,Aeródromo Campo Formoso,4.73398,-60.7674,RR
100,AER,pista_ponto_pouso,Linha,Aeródromo Campo Grande,4.68382,-60.7933,RR
101,AER,pista_ponto_pouso,Linha,Aeródromo Campo Maior,-4.85387,-42.2555,PI
102,AER,pista_ponto_pouso,Linha,Aeródromo Campo Novo,-27.6664,-53.8087,RS
103,AER,pista_ponto_pouso,Linha,Aeródromo Campos Gerais,-8.51836,-46.7515,MA
104,AER,pista_ponto_pouso,Linha,Aeródromo Canarana,-13.5756,-52.2688,MT
105,AER,pista_ponto_pouso,Linha,Aeródromo Candote,-20.8391,-52.3015,MS
106,AER,pista_ponto_pouso,Linha,Aeródromo Canoas,-29.9461,-51.1443,RS
107,AER,pista_ponto_pouso,Linha,Aeródromo Canutama,-6.52966,-64.3837,AM
108,AER,pista_ponto_pouso,Linha,Aeródromo Capão Bonito,-24.0341,-48.3558,SP
109,AER,pista_ponto_pouso,Linha,Aeródromo Carajás,-6.11757,-50.0038,PA
110,AER,pista_ponto_pouso,Linha,Aeródromo Caratinga,-19.7249,-42.1121,MG
111,AER,pista_ponto_pouso,Linha,Aeródromo Carauari,-4.8701,-66.8961,AM
112,AER,pista_ponto_pouso,Linha,Aeródromo Carlos Alberto da Costa Neves,-26788,-50.9397,SC
113,AER,pista_ponto_pouso,Linha,Aeródromo Carlos Alberto Pinto,-12.6089,-46.7471,TO
114,AER,pista_ponto_pouso,Linha,Aeródromo Casalvasco,-15.4894,-60.0853,MT
115,AER,pista_ponto_pouso,Linha,Aeródromo Caxambu,-21.9171,-44.9688,MG
116,AER,pista_ponto_pouso,Linha,Aeródromo Chácara Mcl,-20.8813,-51.3569,SP
117,AER,pista_ponto_pouso,Linha,Aeródromo Chácara Veneza,-15247,-59.2829,MT
118,AER,pista_ponto_pouso,Linha,Aeródromo Chaves,-0.205856,-49.9843,PA
119,AER,pista_ponto_pouso,Linha,Aeródromo Cia. Agrícola Quatá,-22.2859,-50.6391,SP
120,AER,pista_ponto_pouso,Linha,Aeródromo Cibrasa,-1.23077,-47.2008,PA
121,AER,pista_ponto_pouso,Linha,Aeródromo Clemente Verillo,-22.1014,-48.2268,SP
122,AER,pista_ponto_pouso,Linha,Aeródromo Coari,-4134,-63.1331,AM
