CD_UF,NM_UF,SG_UF,CD_MUNIC,NM_MUNIC,IDCQ0001,OCORRENCIA,CD_LQ,PREFIXO,NM_CQ,CD_AGLOM,NM_AGLOM,CD_TQ,NM_TQ,P_FCP,Lat_d,Long_d,
31,MINAS GERAIS,MG,3171600,Virgem da Lapa,161,1,3171600001611,COMUNIDADE QUILOMBOLA,ALMAS,,,,,,-16.7986,-42.3368,
31,MINAS GERAIS,MG,3169307,Três Corações,170,1,3169307001701,COMUNIDADE QUILOMBOLA,ALTEROSAS,1,ALTEROSAS,,,,-21.7891,-45.2745,
31,MINAS GERAIS,MG,3106507,Berilo,194,2,3106507001942,COMUNIDADE QUILOMBOLA,ALTO CAITITU,,,,,,-16.9569,-42.4624,
31,MINAS GERAIS,MG,3106507,Berilo,194,3,3106507001943,COMUNIDADE QUILOMBOLA,ALTO CAITITU,,,,,01420.001722/2006-05,-16.9573,-42.4603,
31,MINAS GERAIS,MG,3106507,Berilo,194,1,3106507001941,COMUNIDADE QUILOMBOLA,ALTO CAITITU,23,COMUNIDADE QUILOMBOLA ALTO CAITITU,,,01420.001722/2006-05,-16.9936,-42.4300,
31,MINAS GERAIS,MG,3150802,Piranga,206,1,3150802002061,COMUNIDADE QUILOMBOLA,ALTO DA FONSECA,16,COMUNIDADE QUILOMBOLA NO ALTO DA FONSECA,,,,-20.6250,-43.3157,
31,MINAS GERAIS,MG,3112307,Capelinha,225,1,3112307002251,COMUNIDADE QUILOMBOLA,ALTO DOS BOIS,,,,,,-17.6595,-42.3507,
31,MINAS GERAIS,MG,3102852,Angelândia,226,2,3102852002262,COMUNIDADE QUILOMBOLA,ALTO DOS BOIS,,,,,01420.002948/2010-00,-17.7260,-42.2739,
31,MINAS GERAIS,MG,3102852,Angelândia,226,1,3102852002261,COMUNIDADE QUILOMBOLA,ALTO DOS BOIS,6,COMUNIDADE QUILOMBOLA ALTO DOS BOIS,,,01420.002948/2010-00,-17.6629,-42.3549,
31,MINAS GERAIS,MG,3149150,Pedras de Maria da Cruz,231,1,3149150002311,COMUNIDADE QUILOMBOLA,ALTO GRANDE,,,,,,-15.5409,-44.3639,
31,MINAS GERAIS,MG,3171600,Virgem da Lapa,245,1,3171600002451,COMUNIDADE QUILOMBOLA,ALTO SÃO JOSÉ,,,,,,-16.7386,-42.2127,
31,MINAS GERAIS,MG,3141801,Minas Novas,251,1,3141801002511,COMUNIDADE QUILOMBOLA,ALTO TROVOADA,,,,,,-17.6036,-42.3071,
31,MINAS GERAIS,MG,3147006,Paracatu,257,1,3147006002571,COMUNIDADE QUILOMBOLA,AMAROS,,,223,MACHADINHO,,-17.2144,-46.8954,
31,MINAS GERAIS,MG,3147006,Paracatu,257,2,3147006002572,COMUNIDADE QUILOMBOLA,AMAROS,,,230,AMAROS,,-17.1695,-46.8289,
31,MINAS GERAIS,MG,3147006,Paracatu,257,3,3147006002573,COMUNIDADE QUILOMBOLA,AMAROS,,,,,,-17.2151,-46.8653,
31,MINAS GERAIS,MG,3147006,Paracatu,257,4,3147006002574,COMUNIDADE QUILOMBOLA,AMAROS,,,,,01420.000198/2002-13,-17.2210,-46.8862,
31,MINAS GERAIS,MG,3129509,Ibiá,263,1,3129509002631,COMUNIDADE QUILOMBOLA,AMBRÓSIO,,,,,,-19.4563,-46.3200,
31,MINAS GERAIS,MG,3111507,Campos Altos,265,1,3111507002651,COMUNIDADE QUILOMBOLA,AMBRÓSIO,,,,,,-19.4672,-46.2924,
31,MINAS GERAIS,MG,3153301,Presidente Kubitschek,290,1,3153301002901,COMUNIDADE QUILOMBOLA,ANDREQUICÉ,1,ANDREQUICÉ,,,01420.102039/2018-10,-18.6376,-43.6626,
31,MINAS GERAIS,MG,3108602,Brasília de Minas,302,1,3108602003021,COMUNIDADE QUILOMBOLA,ANGICAL,10,COMUNIDADE QUILOMBOLA ANGICAL,,,01420.011651/2016-12,-16.3006,-44.4676,
31,MINAS GERAIS,MG,3161106,São Francisco,305,1,3161106003051,COMUNIDADE QUILOMBOLA,ANGICAL,,,,,01420.006801/2017-57,-15.9496,-44.8551,
31,MINAS GERAIS,MG,3162401,São João da Ponte,382,1,3162401003821,COMUNIDADE QUILOMBOLA,ARARUBA,3,COMUNIDADE QUILOMBOLA ARARUBA,229,BREJO DOS CRIOULOS,,-15.7707,-43.8572,
31,MINAS GERAIS,MG,3162401,São João da Ponte,382,2,3162401003822,COMUNIDADE QUILOMBOLA,ARARUBA,,,,,01420.000308/1999-90,-15.8133,-43.8921,
31,MINAS GERAIS,MG,3161007,São Domingos do Prata,399,1,3161007003991,COMUNIDADE QUILOMBOLA,AREIÃO,,,,,01420.102020/2021-79,-20.0040,-42.9261,
31,MINAS GERAIS,MG,3123106,Dores de Guanhães,400,1,3123106004001,COMUNIDADE QUILOMBOLA,AREIAS,,,,,,-19.0964,-42.8302,
31,MINAS GERAIS,MG,3103405,Araçuaí,430,1,3103405004301,COMUNIDADE QUILOMBOLA,ARRAIAL DOS CRIOULOS,,,,,,-16.8639,-42.0599,
31,MINAS GERAIS,MG,3103405,Araçuaí,430,2,3103405004302,COMUNIDADE QUILOMBOLA,ARRAIAL DOS CRIOULOS,,,,,01420.001086/2007-94,-16.8668,-42.0598,
31,MINAS GERAIS,MG,3118601,Contagem,434,1,3118601004341,COMUNIDADE QUILOMBOLA,ARTUR PASSOS,,,,,,-19.9206,-44.0745,
31,MINAS GERAIS,MG,3118601,Contagem,436,1,3118601004361,COMUNIDADE QUILOMBOLA,ARTUROS,3,COMUNIDADE QUILOMBOLA ARTUROS,,,01420.001226/2004-81,-19.8934,-44.0820,
31,MINAS GERAIS,MG,3132503,Itamarandiba,442,1,3132503004421,COMUNIDADE QUILOMBOLA,ASA BRANCA,19,COMUNIDADE QUILOMBOLA ASA BRANCA,,,01420.004640/2011-71,-17.8921,-43.0294,
31,MINAS GERAIS,MG,3167103,Serro,459,1,3167103004591,COMUNIDADE QUILOMBOLA,AUSENTE,15,COMUNIDADE QUILOMBOLA AUSENTE MARGEM DIREITA DO JEQUITINHONHA,536,AUSENTE,,-18.5012,-43.4913,
31,MINAS GERAIS,MG,3167103,Serro,459,2,3167103004592,COMUNIDADE QUILOMBOLA,AUSENTE,16,COMUNIDADE QUILOMBOLA AUSENTE,536,AUSENTE,01420.005183/2012-13,-18.5158,-43.4864,
31,MINAS GERAIS,MG,3160207,Santo Antônio do Itambé,489,1,3160207004891,COMUNIDADE QUILOMBOLA,BAGO,,,,,,-18.4361,-43.2127,
31,MINAS GERAIS,MG,3160207,Santo Antônio do Itambé,490,1,3160207004901,COMUNIDADE QUILOMBOLA,BAGRES,,,,,,-18.4715,-43.1993,
31,MINAS GERAIS,MG,3147006,Paracatu,491,1,3147006004911,COMUNIDADE QUILOMBOLA,BAGRES,,,,,,-17.2380,-46.8799,
31,MINAS GERAIS,MG,3171006,Vazante,492,1,3171006004921,COMUNIDADE QUILOMBOLA,BAGRES,,,,,01420.000338/2003-34,-18.0008,-46.9075,
31,MINAS GERAIS,MG,3171006,Vazante,511,1,3171006005111,COMUNIDADE QUILOMBOLA,BAINHA,,,,,01420.001143/2004-92,-18.0018,-46.9077,
31,MINAS GERAIS,MG,3152105,Ponte Nova,517,1,3152105005171,COMUNIDADE QUILOMBOLA,BAIRRO DE FÁTIMA,21,COMUNIDADE QUILOMBOLA BAIRRO DE FÁTIMA,,,01420.000806/2007-02,-20.4121,-42.8863,
31,MINAS GERAIS,MG,3169901,Ubá,520,1,3169901005201,COMUNIDADE QUILOMBOLA,BAIRRO LUZ,,,,,,-21.1140,-42.9248,
31,MINAS GERAIS,MG,3119708,Coronel Xavier Chaves,524,1,3119708005241,COMUNIDADE QUILOMBOLA,BAIRRO VILA DE FÁTIMA,6,BAIRRO VILA DE FÁTIMA,,,,-21.0258,-44.2265,
31,MINAS GERAIS,MG,3135209,Januária,593,1,3135209005931,COMUNIDADE QUILOMBOLA,BALAEIRO,,,,,01420.009949/2012-39,-15.6106,-44.4598,
31,MINAS GERAIS,MG,3106507,Berilo,600,1,3106507006001,COMUNIDADE QUILOMBOLA,BANANAL,,,,,,-16.9304,-42.4680,
31,MINAS GERAIS,MG,3135100,Janaúba,626,1,3135100006261,COMUNIDADE QUILOMBOLA,BARBOSA,,,,,,-15.7788,-43.3232,
31,MINAS GERAIS,MG,3102852,Angelândia,633,1,3102852006331,COMUNIDADE QUILOMBOLA,BARRA CAPÃO,7,COMUNIDADE QUILOMBOLA BARRA DO CAPÃO,,,01420.002948/2010-00,-17.6641,-42.3385,
31,MINAS GERAIS,MG,3106507,Berilo,634,1,3106507006341,COMUNIDADE QUILOMBOLA,BARRA CAPIVARI,,,,,,-16.9502,-42.4574,
31,MINAS GERAIS,MG,3167103,Serro,635,1,3167103006351,COMUNIDADE QUILOMBOLA,BARRA CEGA,,,,,,-18.4703,-43.5219,
31,MINAS GERAIS,MG,3135209,Januária,641,1,3135209006411,COMUNIDADE QUILOMBOLA,BARRA DE PINDAIBAL,,,,,01420.102063/2022-35,-15.4933,-45.1565,
31,MINAS GERAIS,MG,3156809,Sabinópolis,642,1,3156809006421,COMUNIDADE QUILOMBOLA,BARRA DE SANTO ANTÔNIO,27,COMUNIDADE QUILOMBOLA BARRA SANTO ANTÔNIO,,,,-18.7780,-43.1112,
31,MINAS GERAIS,MG,3156809,Sabinópolis,642,2,3156809006422,COMUNIDADE QUILOMBOLA,BARRA DE SANTO ANTÔNIO,,,,,01420.003040/2015-10,-18.7850,-43.1264,
31,MINAS GERAIS,MG,3156809,Sabinópolis,642,3,3156809006423,COMUNIDADE QUILOMBOLA,BARRA DE SANTO ANTÔNIO,,,,,,-18.7775,-43.1240,
31,MINAS GERAIS,MG,3112307,Capelinha,650,1,3112307006501,COMUNIDADE QUILOMBOLA,BARRA DO JARDIM,,,,,,-17.5083,-42.5729,
31,MINAS GERAIS,MG,3106507,Berilo,652,1,3106507006521,COMUNIDADE QUILOMBOLA,BARRA DO RIBEIRÃO,7,COMUNIDADE QUILOMBOLA BARRA DO RIBEIRÃO,,,01420.012863/2016-17,-16.9251,-42.4474,
31,MINAS GERAIS,MG,3165552,Setubinha,659,1,3165552006591,COMUNIDADE QUILOMBOLA,BARRA SETUBAL,,,,,,-17.6778,-42.1627,
31,MINAS GERAIS,MG,3135456,Jenipapo de Minas,665,1,3135456006651,COMUNIDADE QUILOMBOLA,BARRAGUEM,,,,,,-17.1692,-42.2291,
31,MINAS GERAIS,MG,3161106,São Francisco,669,1,3161106006691,COMUNIDADE QUILOMBOLA,BARREIRA,,,,,01420.001000/2005-61,-15.9659,-44.8609,
31,MINAS GERAIS,MG,3128006,Guanhães,671,1,3128006006711,COMUNIDADE QUILOMBOLA,BARREIRA,3,COMUNIDADE QUILOMBOLA BARREIRAS,,,01420.100055/2021-73,-18.9453,-42.9267,
31,MINAS GERAIS,MG,3110301,Caldas,680,1,3110301006801,COMUNIDADE QUILOMBOLA,BARREIRINHO,10,COMUNIDADE QUILOMBOLA BARREIRINHO,,,01420.004503/2016-41,-21.8582,-46.3883,
31,MINAS GERAIS,MG,3136009,Joaíma,681,1,3136009006811,COMUNIDADE QUILOMBOLA,BARREIRINHO,2,COMUNIDADE QUILOMBOLA RURAL BARREIRINHO,,,01420.000075/2006-14,-16.7646,-41.1697,
31,MINAS GERAIS,MG,3135209,Januária,683,1,3135209006831,COMUNIDADE QUILOMBOLA,BARREIRINHO,,,,,01420.100786/2022-08,-15.4761,-44.4122,
31,MINAS GERAIS,MG,3136009,Joaíma,681,2,3136009006812,COMUNIDADE QUILOMBOLA,BARREIRINHO,,,,,,-16.6619,-41.0175,
31,MINAS GERAIS,MG,3108503,Botumirim,685,1,3108503006851,COMUNIDADE QUILOMBOLA,BARREIRO,,,,,,-16.8724,-42.8448,
31,MINAS GERAIS,MG,3135209,Januária,690,1,3135209006901,COMUNIDADE QUILOMBOLA,BARREIRO,,,,,01420.009919/2012-22,-15.4674,-44.4269,
31,MINAS GERAIS,MG,3120300,Cristália,691,1,3120300006911,COMUNIDADE QUILOMBOLA,BARREIRO,3,COMUNIDADE QUILOMBOLA BARREIRO,,,01420.003091/2010-37,-16.8639,-42.8298,
31,MINAS GERAIS,MG,3120300,Cristália,691,2,3120300006912,COMUNIDADE QUILOMBOLA,BARREIRO,,,,,01420.003091/2010-37,-16.7207,-42.8659,
31,MINAS GERAIS,MG,3120300,Cristália,691,3,3120300006913,COMUNIDADE QUILOMBOLA,BARREIRO,,,,,01420.100369/2023-38,-16.7199,-42.8736,
31,MINAS GERAIS,MG,3135209,Januária,696,1,3135209006961,COMUNIDADE QUILOMBOLA,BARREIRO ALEGRE,,,,,,-15.3797,-44.2769,
31,MINAS GERAIS,MG,3135209,Januária,699,1,3135209006991,COMUNIDADE QUILOMBOLA,BARREIRO DO ALEGRE,24,COMUNIDADE QUILOMBOLA BARREIRO DO ALEGRE,,,01420.100767/2023-54,-15.4058,-44.2959,
31,MINAS GERAIS,MG,3112307,Capelinha,702,1,3112307007021,COMUNIDADE QUILOMBOLA,BARREIRO GRILO,,,,,01420.101261/2021-09,-17.5180,-42.5490,
31,MINAS GERAIS,MG,3171030,Verdelândia,705,1,3171030007051,COMUNIDADE QUILOMBOLA,BARREIRO RIO VERDE,,,,,,-15.6143,-43.5993,
31,MINAS GERAIS,MG,3106309,Belo Oriente,724,1,3106309007241,COMUNIDADE QUILOMBOLA,BARRO BRANCO,,,,,,-19.2143,-42.4836,
31,MINAS GERAIS,MG,3158003,Santa Maria de Itabira,732,1,3158003007321,COMUNIDADE QUILOMBOLA,BARRO PRETO,1,COMUNIDADE QUILOMBOLA BARRO PRETO,,,01420.000989/2006-77,-19.4537,-43.0790,
31,MINAS GERAIS,MG,3135209,Januária,738,1,3135209007381,COMUNIDADE QUILOMBOLA,BARRO VERMELHO,,,,,,-15.3397,-45.3035,
