x, y
0.6593406593406593, 0.09
1.5018315018315018, 0.28285714285714286
2.1611721611721615, 0.5271428571428571
2.1611721611721615, 0.5271428571428571
2.8937728937728937, 0.7457142857142857
3.4432234432234434, 1.0671428571428572
4.102564102564103, 1.4142857142857144
4.578754578754579, 1.7357142857142858
4.871794871794872, 2.005714285714286
5.274725274725275, 2.3785714285714286
5.714285714285714, 2.6742857142857144
6.117216117216118, 3.047142857142857
6.6300366300366305, 3.5357142857142856
7.06959706959707, 4.024285714285714
7.326007326007327, 4.397142857142857
